time_step,forecast_values,actual_values
336,21.009951001043518,21.952477
337,21.20403993689557,23.40025
338,21.846315747137268,23.87141
339,21.80403650366803,22.178753
340,21.802482968206604,17.746294
341,20.957117443914612,15.833235
342,20.10008848273297,15.428681
343,18.53610838019391,15.237669
344,17.250326043005188,14.930092
345,16.040790921087464,14.778261
346,15.245133763189514,14.822341
347,14.633524065847595,14.224816
348,14.465059643621643,13.287388
349,14.160801773901184,12.273555
350,13.758346920843323,11.981649
351,13.25068390929242,11.540853
352,12.56884170138379,11.368452
353,12.553149348135193,11.630971
354,12.895470624799927,12.186376
355,14.555875187750061,12.775084
356,16.302070980901917,13.857486
357,18.691959267492493,14.601942
358,20.172632580633362,15.2366905
359,20.928919201727112,14.004417
360,21.676923161382874,14.779241
361,22.475220089788635,14.614676
362,22.523547535772522,16.264236
363,22.853280430669983,16.14963
364,22.572510128851135,14.982008
365,21.645956402654846,14.743977
366,20.379660969610413,13.996581
367,19.08278692328473,13.245268
368,17.083918934698303,12.821123
369,15.794651871557434,11.65644
370,14.97738159262677,9.784522
371,14.475703841085632,8.635511
372,14.423746472234924,7.9429703
373,14.116810923452576,8.240753
374,13.611323243017395,7.70494
375,13.228850727911194,7.2631636
376,12.650268321867188,6.9379535
377,12.998241787786682,7.297448
378,13.661323433752258,7.8126907
379,14.83767474257489,9.769829
380,17.135601406927307,11.777904
381,19.074280148382385,13.908422
382,20.5025094803526,15.064289
383,21.685243969793518,16.25444
384,22.357297306890686,17.441654
385,22.729392414922913,18.524055
386,23.384092694158753,19.024605
387,23.542679196233948,19.291042
388,22.789280300970276,19.043217
389,22.46979177557965,17.763926
390,20.8500436600401,16.563978
391,19.345849400396546,15.656916
392,17.52264011466046,15.687283
393,16.132110005254944,15.061351
394,15.550311451788147,14.600963
395,15.00359237753888,14.708714
396,14.704024916525086,14.406033
397,14.533991700048645,13.58713
398,14.058171635503967,12.467505
399,13.545240288610657,12.093318
400,13.34969080054303,12.226537
401,13.381960278387268,12.377387
402,13.920971279974182,12.517463
403,15.564386731023987,13.100294
404,17.4038127716734,13.926054
405,19.162950878973206,14.573536
406,20.64076173865338,14.995721
407,21.970427876348694,16.294601
408,22.68306196295758,17.607197
409,23.152596836919983,18.921753
410,23.56639230811139,18.301697
411,23.495093708868225,18.221375
412,22.9329875763609,17.530792
413,22.053905850286682,17.020449
414,21.045920735235413,15.876335
415,19.15951097571393,14.337464
416,17.43358982169171,12.527258
417,16.567120438451965,11.883695
418,15.412785893316467,11.59081
419,15.186149960394104,12.361714
420,14.940490370626648,13.119885
421,14.460101490850647,13.072866
422,14.193819170828064,12.587991
423,13.781368857259949,12.337226
424,13.32363951766034,12.026709
425,13.088689452047547,11.7965145
426,13.786578303213318,11.531057
427,15.259280567999085,11.636848
428,16.93861663901349,12.138377
429,18.75283086859723,12.786839
430,20.516091709966858,13.792835
431,21.79358614050885,14.656797
